817,123
759,136
649,160
574,178
848,178
783,179
531,185
808,205
439,226
734,229
887,231
593,238
822,241
933,246
367,251
982,263
789,269
867,271
311,272
493,273
796,273
1074,285
709,295
918,295
280,298
367,299
424,299
790,299
499,304
834,306
512,309
847,312
826,313
964,313
822,320
777,321
259,327
1115,327
352,337
757,337
809,341
1064,343
1342,352
410,359
701,359
769,360
242,363
795,364
891,364
826,367
339,369
484,374
292,388
817,395
1141,396
310,400
924,402
442,403
400,405
648,405
985,413
470,414
1052,415
355,418
1100,423
575,426
864,427
809,428
914,428
800,430
1159,433
518,435
745,436
203,438
395,440
709,440
266,442
673,445
259,446
330,452
252,453
419,453
196,457
1177,459
1308,459
441,462
376,465
495,468
389,470
908,470
287,472
952,473
617,485
316,488
864,494
392,496
766,499
996,499
419,500
1289,501
800,502
1109,502
348,506
1056,507
230,508
919,509
1229,509
802,513
553,514
179,515
1175,525
985,526
259,530
1095,530
427,531
1157,531
288,543
505,545
887,548
212,549
310,552
247,553
960,566
1104,568
362,569
612,570
401,573
474,579
687,579
799,581
866,583
1165,583
294,584
125,597
390,597
1072,599
988,602
554,605
349,609
408,617
834,620
216,629
957,630
342,632
223,633
522,637
231,640
1084,646
753,647
1125,651
734,656
1151,656
1200,658
942,661
686,665
1238,665
398,670
1003,670
477,680
851,686
1043,690
981,692
1141,692
807,693
190,696
305,702
637,702
581,704
312,706
912,706
320,711
1016,711
1109,711
442,714
772,718
1081,729
748,730
657,732
543,733
945,737
661,739
467,744
810,747
595,753
1061,753
788,754
915,756
765,764
374,768
874,769
273,770
813,771
1177,774
690,775
513,777
1025,785
1018,790
539,792
407,802
1207,802
781,805
609,811
1036,813
979,823
725,830
1099,838
1160,838
358,847
831,849
956,850
1057,862
913,865
1169,866
616,867
1015,879
871,889
499,890
1196,903
837,904
1112,905
1082,910
839,919
1003,927
1204,927
1143,931
551,934
769,937
445,939
947,942
1156,952
1059,954
716,960
1051,975
1177,976
1091,980
1118,981
491,994
1191,997
1197,1003
852,1005
973,1008
788,1025
934,1038
979,1039
1107,1045
869,1047
1177,1049
806,1053
1184,1053
1191,1057
1071,1063
880,1067
955,1075
990,1077
719,1080
854,1093
1071,1094
907,1107
949,1107
1134,1109
843,1114
886,1121
749,1131
884,1131
1072,1145
1156,1151
918,1156
706,1162
1112,1167
1066,1178
958,1181
670,1190
766,1218
919,1222
1153,1258
1191,1258
963,1265
1017,1271
1011,1278
950,1286
930,1292
1026,1308
743,1311
1004,1318
1055,1326
1144,1328
968,1351
824,1355
960,1356
951,1364
912,1377
1025,1377
1081,1385
1186,1397
1196,1435
1157,1459
910,1463
1124,1466
1017,1475
1054,1505
