817,759,123,136
817,649,123,160
817,574,123,178
817,848,123,178
817,531,123,185
817,887,123,231
759,817,136,123
759,649,136,160
759,574,136,178
759,783,136,179
759,531,136,185
759,808,136,205
759,822,136,241
649,817,160,123
649,759,160,136
649,574,160,178
649,531,160,185
649,439,160,226
649,734,160,229
649,367,160,251
574,817,178,123
574,759,178,136
574,649,178,160
574,531,178,185
574,439,178,226
574,593,178,238
574,367,178,251
574,648,178,405
574,673,178,445
848,817,178,123
848,887,178,231
783,759,179,136
783,808,179,205
783,822,179,241
531,817,185,123
531,759,185,136
531,649,185,160
531,574,185,178
531,439,185,226
531,367,185,251
531,280,185,298
808,759,205,136
808,783,205,179
808,822,205,241
439,649,226,160
439,574,226,178
439,531,226,185
439,367,226,251
439,493,226,273
439,280,226,298
439,424,226,299
439,410,226,359
439,400,226,405
439,395,226,440
439,389,226,470
439,392,226,496
734,649,229,160
887,817,231,123
887,848,231,178
887,933,231,246
887,982,231,263
887,867,231,271
887,1074,231,285
887,847,231,312
887,826,231,367
887,817,231,395
887,809,231,428
887,800,231,430
593,574,238,178
593,709,238,295
593,757,238,337
593,701,238,359
593,769,238,360
593,648,238,405
593,673,238,445
822,759,241,136
822,783,241,179
822,808,241,205
822,789,241,269
822,867,241,271
933,887,246,231
933,982,246,263
933,1074,246,285
933,918,246,295
933,891,246,364
933,864,246,427
367,649,251,160
367,574,251,178
367,531,251,185
367,439,251,226
367,280,251,298
982,887,263,231
982,933,263,246
982,964,263,313
982,924,263,402
982,914,263,428
789,822,269,241
789,796,269,273
789,790,269,299
789,834,269,306
789,847,269,312
789,891,269,364
867,887,271,231
867,822,271,241
867,847,271,312
867,826,271,367
867,817,271,395
867,809,271,428
867,800,271,430
867,800,271,502
311,280,272,298
311,367,272,299
311,424,272,299
311,259,272,327
493,439,273,226
493,499,273,304
493,512,273,309
493,575,273,426
796,789,273,269
796,790,273,299
796,834,273,306
796,847,273,312
796,777,273,321
796,891,273,364
1074,887,285,231
1074,933,285,246
1074,1115,285,327
1074,1064,285,343
1074,1052,285,415
1074,1056,285,507
709,593,295,238
709,757,295,337
709,769,295,360
709,809,295,428
918,933,295,246
918,891,295,364
918,864,295,427
280,531,298,185
280,439,298,226
280,367,298,251
280,311,298,272
280,259,298,327
280,352,298,337
280,410,298,359
280,242,298,363
280,203,298,438
280,196,298,457
280,125,298,597
367,311,299,272
367,424,299,299
367,499,299,304
424,439,299,226
424,311,299,272
424,367,299,299
424,499,299,304
424,410,299,359
424,400,299,405
424,395,299,440
424,389,299,470
424,392,299,496
790,789,299,269
790,796,299,273
790,777,299,321
790,757,299,337
499,493,304,273
499,367,304,299
499,424,304,299
499,512,304,309
499,575,304,426
499,617,304,485
834,789,306,269
834,796,306,273
834,847,306,312
834,826,306,313
834,822,306,320
834,809,306,341
834,795,306,364
834,891,306,364
834,924,306,402
512,493,309,273
512,499,309,304
512,484,309,374
